contrast_id,task_name,model_name,baseline_name,metric,n_pairs,n_valid_pairs,model_wape_mean,baseline_wape_mean,log_ratio,bootstrap_mean,bootstrap_se,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high
favorita_stores_1D__chronos2__vs__seasonal_naive__WAPE,favorita_stores_1D,chronos2,seasonal_naive,mean_series_window_WAPE,15790,15463,0.38154762651616847,0.609447926085302,-0.468317825087821,-0.46833493631259265,0.01367723083687855,-0.49738010957175205,-0.44293495406047817,0.6260545162028573,0.6081217869618771,0.642148974912753
favorita_stores_1M__chronos2__vs__seasonal_naive__WAPE,favorita_stores_1M,chronos2,seasonal_naive,mean_series_window_WAPE,3158,3142,0.3610878622619511,0.3781579534338387,-0.046190660078348524,-0.04609695030912732,0.019706751605146844,-0.08872569095381273,-0.011388317254035808,0.954859891172766,0.91509655841328,0.9886762841645304
favorita_stores_1W__chronos2__vs__seasonal_naive__WAPE,favorita_stores_1W,chronos2,seasonal_naive,mean_series_window_WAPE,15790,15250,0.417413842092617,0.4668273104687501,-0.11188124766888709,-0.11313242859113533,0.09350302137866755,-0.2979586884807112,0.0609367139665948,0.8941504336442611,0.7423320059773193,1.0628316496594807
favorita_transactions_1D__chronos2__vs__seasonal_naive__WAPE,favorita_transactions_1D,chronos2,seasonal_naive,mean_series_window_WAPE,510,505,0.07329343445752486,0.1525472290987751,-0.7330032130667689,-0.7325162970427244,0.03833142707826608,-0.8073182732777477,-0.6575275682033974,0.4804638857783971,0.4460526550512093,0.5181307952031158
favorita_transactions_1M__chronos2__vs__seasonal_naive__WAPE,favorita_transactions_1M,chronos2,seasonal_naive,mean_series_window_WAPE,102,101,0.10298787298225033,0.12004353466383169,-0.15324322259377715,-0.15400371661405063,0.05932292597348859,-0.2831187978648787,-0.04903393843249721,0.8579210306548886,0.7534302766347521,0.9521488147118725
favorita_transactions_1W__chronos2__vs__seasonal_naive__WAPE,favorita_transactions_1W,chronos2,seasonal_naive,mean_series_window_WAPE,510,496,0.06962892623808628,0.09038516162733241,-0.26090002476608765,-0.2632256556731934,0.03617523718277526,-0.3378280958803654,-0.19585497039308125,0.7703579324798213,0.7133178996448062,0.8221314594348151
hermes__chronos2__vs__seasonal_naive__WAPE,hermes,chronos2,seasonal_naive,mean_series_window_WAPE,10000,10000,0.1901033638363604,0.24116356069304185,-0.2379074339432155,-0.23784130415459206,0.0028812208841266064,-0.24323721697186618,-0.23225260707972883,0.7882756552857836,0.7840854933224148,0.7927458447990423
hierarchical_sales_1D__chronos2__vs__seasonal_naive__WAPE,hierarchical_sales_1D,chronos2,seasonal_naive,mean_series_window_WAPE,1180,1180,0.8328818254244471,1.248309700820996,-0.4046539099867554,-0.40603191470368305,0.044839882694205475,-0.4968637270134643,-0.3193170560062468,0.6672076848210602,0.6084358915380615,0.7266451255781805
hierarchical_sales_1W__chronos2__vs__seasonal_naive__WAPE,hierarchical_sales_1W,chronos2,seasonal_naive,mean_series_window_WAPE,1180,1180,0.45887246990487196,0.7605987247966229,-0.5053335908067592,-0.5043990076457101,0.047685468997141205,-0.6001717171807285,-0.40863647101535183,0.6033042850914195,0.548717403798009,0.6645557737015664
m5_1D__chronos2__vs__seasonal_naive__WAPE,m5_1D,chronos2,seasonal_naive,mean_series_window_WAPE,30490,30490,1.0040846202942546,1.5938936324004027,-0.4621035472747588,-0.4621236207610671,0.0058636931656146085,-0.47318576025789305,-0.45055958426246034,0.6299571062230194,0.6230143291254046,0.6372714447559064
m5_1M__chronos2__vs__seasonal_naive__WAPE,m5_1M,chronos2,seasonal_naive,mean_series_window_WAPE,30064,30053,0.5761183900978563,0.7092814404772918,-0.20793922395533276,-0.2078523008588832,0.00519314355668939,-0.21781792178470072,-0.19771701958355176,0.8122564009431474,0.8042718687220389,0.8206020345903662
m5_1W__chronos2__vs__seasonal_naive__WAPE,m5_1W,chronos2,seasonal_naive,mean_series_window_WAPE,30490,30447,0.66718764986131,0.8385329806676054,-0.22858257295315929,-0.22864986881318305,0.0052860096399848944,-0.23941019260805346,-0.21938505918088158,0.7956605944468906,0.7870919568438277,0.8030124512976923
restaurant__chronos2__vs__seasonal_naive__WAPE,restaurant,chronos2,seasonal_naive,mean_series_window_WAPE,6502,6502,0.3916255122394367,0.5330374553933014,-0.30828563722373964,-0.30843260297071917,0.00401598059661861,-0.31658601634396466,-0.3008161589743375,0.7347054288154592,0.7286323345746859,0.7402138419106835
rohlik_orders_1D__chronos2__vs__seasonal_naive__WAPE,rohlik_orders_1D,chronos2,seasonal_naive,mean_series_window_WAPE,35,35,0.057502159520772214,0.06572060029826293,-0.13358992332558317,-0.1419894797222803,0.09278689967559771,-0.33722325277321297,0.03010872368221605,0.8749487871353491,0.7137494755643178,1.0305665748554438
rohlik_orders_1W__chronos2__vs__seasonal_naive__WAPE,rohlik_orders_1W,chronos2,seasonal_naive,mean_series_window_WAPE,35,35,0.05298215930974906,0.08539911653709303,-0.4773805156553208,-0.5025214275499631,0.13018180201284776,-0.7232395002510633,-0.274545676403774,0.6204064100210721,0.48517797322599715,0.7599172931670726
rohlik_sales_1D__chronos2__vs__seasonal_naive__WAPE,rohlik_sales_1D,chronos2,seasonal_naive,mean_series_window_WAPE,5356,5356,0.3725207693908816,0.52788257201216,-0.34858106445995235,-0.3480400349438331,0.02324238234855953,-0.39748352434410555,-0.3079227120846468,0.7056887064312863,0.6720090143456603,0.734972120276995
rohlik_sales_1W__chronos2__vs__seasonal_naive__WAPE,rohlik_sales_1W,chronos2,seasonal_naive,mean_series_window_WAPE,5060,4993,0.4160652116542947,0.5729819842217393,-0.32001226831140805,-0.3158181399276439,0.09090875963402739,-0.5047532079970827,-0.17416717402378284,0.7261401285058221,0.6036545341569276,0.8401564335861769
rossmann_1D__chronos2__vs__seasonal_naive__WAPE,rossmann_1D,chronos2,seasonal_naive,mean_series_window_WAPE,11150,10608,0.21405444460053183,0.28162248918947885,-0.27433708658835115,-0.2743610146667005,0.0025647537146039016,-0.279335851483701,-0.2692701204037152,0.7600758207080314,0.7562858608287177,0.7639368728388458
rossmann_1W__chronos2__vs__seasonal_naive__WAPE,rossmann_1W,chronos2,seasonal_naive,mean_series_window_WAPE,8920,8740,0.20261481812167087,0.23846969490453296,-0.16293550793403705,-0.16295224578309103,0.002791329558653003,-0.16837152075230302,-0.15764087052779524,0.8496459820724142,0.8450398265259199,0.8541564796588157
walmart__chronos2__vs__seasonal_naive__WAPE,walmart,chronos2,seasonal_naive,mean_series_window_WAPE,2936,2936,0.19989051192351676,0.25833779753403474,-0.25649824504741087,-0.25569446486586067,0.0486810775750804,-0.3613301474932053,-0.17978416840129086,0.773756352463995,0.6967489305779703,0.8354505085725674
