contrast_id,favorita_stores_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_stores_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_stores_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_transactions_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_transactions_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_transactions_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,hermes__chronos_bolt_tiny__vs__seasonal_naive__WAPE,hierarchical_sales_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,hierarchical_sales_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,m5_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,m5_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,m5_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,restaurant__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_orders_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_orders_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_sales_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_sales_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rossmann_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rossmann_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,walmart__chronos_bolt_tiny__vs__seasonal_naive__WAPE
favorita_stores_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,0.0001995979408956301,-5.857999650936479e-06,-5.144498771988272e-05,2.4335856324490897e-05,5.109037179841327e-06,-2.90979016544348e-06,1.5880868970254916e-06,-7.974419039426756e-06,-1.2766347575896073e-05,-2.7364738306738523e-07,-5.645051381602062e-06,-5.558668097903986e-07,1.4580614571533643e-06,4.7734377356332245e-05,-6.0191212143514236e-06,6.915904862097658e-06,-7.606659986633513e-06,2.2856920846859244e-07,-1.473564863202837e-06,1.7278161218439734e-05
favorita_stores_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-5.857999650936479e-06,0.0003843682419712887,-6.170204524109406e-06,-9.646388986504525e-06,-1.4525833059849421e-05,-1.4522766744246408e-05,5.90519081197154e-07,2.1550599302039983e-05,-1.5466918940701373e-05,4.615097299720256e-06,3.4808707551584675e-06,8.898639811349342e-07,-2.1899412848842463e-06,-1.7094840431551933e-05,3.7463734294076184e-06,1.4893263425175265e-05,-3.233800455932496e-05,2.3317660802597244e-07,-8.142630290725654e-07,-2.4860466025033693e-05
favorita_stores_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-5.144498771988272e-05,-6.170204524109406e-06,0.006337076790371901,1.027165813950415e-05,-3.0278742487533156e-06,9.071619268701897e-06,9.069762353643211e-07,6.682300218217457e-06,-9.001255019056108e-05,4.775547770592785e-06,-1.5763966124530415e-05,-3.915183822326618e-06,4.27096880983308e-06,-2.1736511521078058e-05,-6.69943997536581e-05,-6.507526563627968e-05,7.097086310183676e-06,-3.7516464598228653e-06,-5.581415680434777e-07,8.281238097572936e-05
favorita_transactions_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,2.4335856324490897e-05,-9.646388986504525e-06,1.027165813950415e-05,0.0009648201813143972,-5.433162315701606e-06,-1.7986561373492373e-05,3.9785019831050204e-06,-1.1806178449315568e-06,5.954478829769866e-05,-9.660120107242948e-07,-3.289718818785588e-05,-7.1374697470501e-07,7.008157404550037e-07,9.775336920450331e-05,-6.775589633372966e-06,2.196106128438733e-05,-3.295559281902731e-06,-2.203715470357916e-06,9.890410519606844e-07,-1.9607324397094477e-05
favorita_transactions_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,5.109037179841327e-06,-1.4525833059849421e-05,-3.0278742487533156e-06,-5.433162315701606e-06,0.0007149738534476837,2.4082605833956475e-05,2.9045410953513e-06,3.2625103842344364e-05,3.818252441225148e-05,-1.2896600659983782e-06,-9.988868580738365e-06,3.3282045849214277e-06,-2.4186335823462595e-06,-0.00012004373972434328,1.6245464242151463e-05,1.890824836335188e-07,1.9783667171214013e-05,-1.1243537179686539e-06,-3.6067712606194355e-07,3.7515789766982577e-06
favorita_transactions_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-2.90979016544348e-06,-1.4522766744246408e-05,9.071619268701897e-06,-1.7986561373492373e-05,2.4082605833956475e-05,0.0005054721682882132,6.360472742951668e-07,1.0303549594223038e-05,-6.696186543943376e-06,1.5853808182222574e-06,2.2392062331045477e-07,-7.871750686165572e-09,-9.761803788968366e-07,3.1292175755003546e-05,-2.0444878303858004e-05,-1.9640335806043415e-06,-1.8317680275399493e-05,4.7758203750263385e-06,-4.2452386677008126e-07,-2.5902106667847e-05
hermes__chronos_bolt_tiny__vs__seasonal_naive__WAPE,1.5880868970254916e-06,5.90519081197154e-07,9.069762353643211e-07,3.9785019831050204e-06,2.9045410953513e-06,6.360472742951668e-07,9.501900509053216e-06,1.6852006210944503e-06,6.865926565371485e-07,-4.3012055660979373e-07,-1.5177205397208604e-06,-2.404324561202977e-07,-4.314714767112942e-07,8.83326770387953e-06,-1.2301143534107288e-06,-1.0876106673290846e-06,1.9071387371221573e-07,-8.531596188301557e-08,5.418038537145011e-07,4.257496226794881e-06
hierarchical_sales_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-7.974419039426756e-06,2.1550599302039983e-05,6.682300218217457e-06,-1.1806178449315568e-06,3.2625103842344364e-05,1.0303549594223038e-05,1.6852006210944503e-06,0.0010709074369795904,-3.786271432467806e-05,-3.939244314636578e-06,1.7682477665065252e-06,1.0248020789990176e-06,6.122586306132916e-06,-0.00014379778873822025,2.3210476531862344e-05,1.8617178470546574e-05,6.21070654264099e-05,2.5934063222772316e-06,4.163261066902035e-06,-3.4578753426184824e-05
hierarchical_sales_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-1.2766347575896073e-05,-1.5466918940701373e-05,-9.001255019056108e-05,5.954478829769866e-05,3.818252441225148e-05,-6.696186543943376e-06,6.865926565371485e-07,-3.786271432467806e-05,0.0025650907481588603,-1.473111476444813e-05,-2.675583497042075e-05,-1.0254782047926259e-05,-2.9772574593924103e-06,-0.00020759136645491378,-6.674948215615229e-05,-6.948176188754276e-06,4.630310107013983e-05,-3.909612291522727e-06,-4.4483794381511655e-06,-7.060131779418498e-05
m5_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-2.7364738306738523e-07,4.615097299720256e-06,4.775547770592785e-06,-9.660120107242948e-07,-1.2896600659983782e-06,1.5853808182222574e-06,-4.3012055660979373e-07,-3.939244314636578e-06,-1.473111476444813e-05,2.591518442279211e-05,7.260180168929688e-08,1.4893795681876476e-07,4.722806832171934e-07,9.773057461813427e-06,-1.971484623270364e-06,-4.5650523143937544e-06,1.5101069729933348e-06,-3.340485772157442e-07,3.164272883111094e-07,-3.620095153508953e-06
m5_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,-5.645051381602062e-06,3.4808707551584675e-06,-1.5763966124530415e-05,-3.289718818785588e-05,-9.988868580738365e-06,2.2392062331045477e-07,-1.5177205397208604e-06,1.7682477665065252e-06,-2.675583497042075e-05,7.260180168929688e-08,0.00037783000384578627,4.4004817690068795e-06,1.1402223251219182e-06,-2.30980136712235e-05,-3.094066631395849e-05,-5.867260077148662e-06,3.1761169279389046e-05,-3.0030060267947205e-06,-1.4233754382121009e-07,-4.1719849444147405e-05
