contrast_id,task_name,model_name,baseline_name,metric,n_pairs,n_valid_pairs,model_wape_mean,baseline_wape_mean,log_ratio,bootstrap_mean,bootstrap_se,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high
favorita_stores_1D__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1D,timesfm25,seasonal_naive,mean_series_window_WAPE,15790,15463,0.3822531814235628,0.609447926085302,-0.4664703405061257,-0.46640534780697374,0.012697006778842746,-0.4929252470007488,-0.44314823093630734,0.6272122113515246,0.61083692925176,0.6420120339892519
favorita_stores_1M__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1M,timesfm25,seasonal_naive,mean_series_window_WAPE,3158,3142,0.34633782343510355,0.3781579534338387,-0.08789730753513335,-0.08785987809448934,0.018409033567211623,-0.12863433637383367,-0.0566033043376101,0.9158549232938392,0.8792954331240487,0.9449688600705686
favorita_stores_1W__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1W,timesfm25,seasonal_naive,mean_series_window_WAPE,15790,15250,0.3652149036248429,0.4668273104687501,-0.24547344704247445,-0.2457808492575826,0.08162137799922359,-0.4112944053366302,-0.09885330031365092,0.7823340568016977,0.6627917734391597,0.9058755899413581
favorita_transactions_1D__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1D,timesfm25,seasonal_naive,mean_series_window_WAPE,510,505,0.07094676947346808,0.1525472290987751,-0.765544376978357,-0.7657719780642884,0.04285246111415438,-0.8425337793386737,-0.6785577229795965,0.4650806828325258,0.4306180488537579,0.507348201588201
favorita_transactions_1M__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1M,timesfm25,seasonal_naive,mean_series_window_WAPE,102,101,0.09740519869809067,0.12004353466383169,-0.20897488190750865,-0.21229556647265949,0.07168452327255546,-0.37282011435517837,-0.09555343759767013,0.8114156165999517,0.6887891249763062,0.9088697925376662
favorita_transactions_1W__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1W,timesfm25,seasonal_naive,mean_series_window_WAPE,510,496,0.06866169593979965,0.09038516162733241,-0.274888624359878,-0.2761057010614377,0.03589159635790173,-0.3497830145230687,-0.20996620465161353,0.7596567257676552,0.7048410133904568,0.8106116404100759
hermes__timesfm25__vs__seasonal_naive__WAPE,hermes,timesfm25,seasonal_naive,mean_series_window_WAPE,10000,10000,0.18773257245242697,0.24116356069304185,-0.2504569151900079,-0.2504823995159051,0.002295352256389528,-0.25502167428131045,-0.2460798755319129,0.7784450184469495,0.7748997023849287,0.7818597709661517
hierarchical_sales_1D__timesfm25__vs__seasonal_naive__WAPE,hierarchical_sales_1D,timesfm25,seasonal_naive,mean_series_window_WAPE,1180,1180,0.7964275212880931,1.248309700820996,-0.4494095471423719,-0.44928676973376175,0.035199750247882605,-0.5243302184587564,-0.3878270853236666,0.6380047521574924,0.5919517099481518,0.6785296608575347
hierarchical_sales_1W__timesfm25__vs__seasonal_naive__WAPE,hierarchical_sales_1W,timesfm25,seasonal_naive,mean_series_window_WAPE,1180,1180,0.4461031910639112,0.7605987247966229,-0.5335556235605994,-0.5323305627602709,0.04879198817270731,-0.6266754276053995,-0.43430618367155044,0.586515828281457,0.5343653875810087,0.647713905699406
m5_1D__timesfm25__vs__seasonal_naive__WAPE,m5_1D,timesfm25,seasonal_naive,mean_series_window_WAPE,30490,30490,1.0052679133483515,1.5938936324004027,-0.46092576172337185,-0.4607546656982503,0.005775050359930561,-0.47187227445538393,-0.4494445262264934,0.630699497703883,0.623833187263012,0.6379824357259032
