contrast_id,favorita_stores_1D__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1M__timesfm25__vs__seasonal_naive__WAPE,favorita_stores_1W__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1D__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1M__timesfm25__vs__seasonal_naive__WAPE,favorita_transactions_1W__timesfm25__vs__seasonal_naive__WAPE,hermes__timesfm25__vs__seasonal_naive__WAPE,hierarchical_sales_1D__timesfm25__vs__seasonal_naive__WAPE,hierarchical_sales_1W__timesfm25__vs__seasonal_naive__WAPE,m5_1D__timesfm25__vs__seasonal_naive__WAPE,m5_1M__timesfm25__vs__seasonal_naive__WAPE,m5_1W__timesfm25__vs__seasonal_naive__WAPE,restaurant__timesfm25__vs__seasonal_naive__WAPE,rohlik_orders_1D__timesfm25__vs__seasonal_naive__WAPE,rohlik_orders_1W__timesfm25__vs__seasonal_naive__WAPE,rohlik_sales_1D__timesfm25__vs__seasonal_naive__WAPE,rohlik_sales_1W__timesfm25__vs__seasonal_naive__WAPE,rossmann_1D__timesfm25__vs__seasonal_naive__WAPE,rossmann_1W__timesfm25__vs__seasonal_naive__WAPE,walmart__timesfm25__vs__seasonal_naive__WAPE
favorita_stores_1D__timesfm25__vs__seasonal_naive__WAPE,0.00016121398114197846,-6.769060765626506e-06,-4.153718746344805e-05,1.9229605872720658e-05,-2.124814507576338e-06,-1.0040564416665683e-05,1.0899271240709382e-07,-4.918944596795216e-06,-6.4810783863438384e-06,-9.96135957151857e-07,-5.509887800208612e-07,-1.0431746320862808e-06,9.743161054582954e-07,2.0553174219642003e-05,-5.765554160689395e-06,3.458084418884477e-06,-2.1886778360141323e-06,-1.380958746575114e-06,-1.2724544763614117e-06,1.4717465754932829e-05
favorita_stores_1M__timesfm25__vs__seasonal_naive__WAPE,-6.769060765626506e-06,0.0003388925168787254,-1.0258676027397772e-05,1.1127863216051197e-05,-1.9740947180633514e-05,-1.764021133323283e-05,-1.3370052546813064e-07,2.234541073877356e-05,-5.639557121081958e-06,3.2714852956203547e-06,-2.398553910203816e-07,-6.141679883054766e-07,-2.2005000327030306e-06,-6.740203404856528e-07,3.2520219432828435e-05,1.2857611392787352e-05,-6.516456070454715e-06,1.1099750286597417e-06,-1.297121119572667e-06,-2.3115555674545763e-05
favorita_stores_1W__timesfm25__vs__seasonal_naive__WAPE,-4.153718746344805e-05,-1.0258676027397772e-05,0.006662049346492134,3.233683784521447e-05,-0.00012271821301345644,0.00011539312297856745,-2.703625686975363e-07,-2.716639787833609e-05,-4.723263884109386e-05,5.646200995550458e-06,-3.910025859569693e-06,-1.1804243988880319e-05,3.914471506772216e-06,8.370538011750933e-05,1.8941853027482303e-05,-4.089126278745733e-05,1.7902377119243666e-06,-2.306180544974698e-06,7.304675075585702e-06,9.103717647509759e-05
favorita_transactions_1D__timesfm25__vs__seasonal_naive__WAPE,1.9229605872720658e-05,1.1127863216051197e-05,3.233683784521447e-05,0.0018363334235401141,7.913876588015232e-05,-6.5450727828354e-06,2.303062011948577e-06,-3.0902312215705515e-05,5.5615032213032916e-05,-2.7515011343703418e-06,-2.50972688409765e-06,-2.9856039286625616e-06,9.931889683146663e-07,1.2110091909953966e-05,5.451988718415396e-06,6.672178472362687e-07,-3.0410478550933874e-05,1.7653085227447148e-06,-5.699935512324156e-08,-8.940069382222902e-05
favorita_transactions_1M__timesfm25__vs__seasonal_naive__WAPE,-2.124814507576338e-06,-1.9740947180633514e-05,-0.00012271821301345644,7.913876588015232e-05,0.005138670876813537,3.680800627743835e-05,6.089295732441803e-06,2.498163105254316e-05,-3.1702585183558344e-05,-1.1282004888761687e-05,1.5497228943937742e-06,9.739226842028163e-06,-1.0619551105642064e-05,0.00015774403052103793,-6.040437747396356e-05,3.276931126571668e-05,-8.70916107023517e-05,-4.84631471975307e-06,5.072395416543497e-06,-3.461564690874221e-05
favorita_transactions_1W__timesfm25__vs__seasonal_naive__WAPE,-1.0040564416665683e-05,-1.764021133323283e-05,0.00011539312297856745,-6.5450727828354e-06,3.680800627743835e-05,0.0012882066891185442,1.840677707653572e-07,-3.2452195112049214e-06,1.119584608778056e-06,2.1021529277691796e-06,-1.0251825027676414e-06,8.876434543855214e-07,-4.552083334009796e-06,8.474772035598254e-05,-2.6699166100638567e-05,-1.2800703880869466e-05,-4.825973801333394e-06,-1.2544854453696052e-06,-1.2613977476312779e-06,-5.519797721041985e-05
hermes__timesfm25__vs__seasonal_naive__WAPE,1.0899271240709382e-07,-1.3370052546813064e-07,-2.703625686975363e-07,2.303062011948577e-06,6.089295732441803e-06,1.840677707653572e-07,5.268641980912491e-06,1.489131893900063e-07,-1.3898770947527583e-06,4.676838586997554e-08,3.107836204281173e-08,-1.3152443326871532e-07,1.9691445391485042e-07,-1.3630673098120878e-06,-1.2373680152563993e-06,-4.550949195358538e-07,1.6005553905046122e-06,-1.0227283838256113e-07,2.2355637309351654e-07,3.4503470376434487e-06
hierarchical_sales_1D__timesfm25__vs__seasonal_naive__WAPE,-4.918944596795216e-06,2.234541073877356e-05,-2.716639787833609e-05,-3.0902312215705515e-05,2.498163105254316e-05,-3.2452195112049214e-06,1.489131893900063e-07,0.0012390224175133121,-3.559554312983188e-05,-3.8869900471321645e-06,-3.7747036358875256e-06,-1.835878178925837e-06,7.568382549391704e-06,-0.00012011079190267146,-2.2170626174970324e-05,1.5065016445470573e-05,3.945282986019925e-05,1.1378188318423846e-06,2.3848879737658827e-06,-4.139658954080375e-05
hierarchical_sales_1W__timesfm25__vs__seasonal_naive__WAPE,-6.4810783863438384e-06,-5.639557121081958e-06,-4.723263884109386e-05,5.5615032213032916e-05,-3.1702585183558344e-05,1.119584608778056e-06,-1.3898770947527583e-06,-3.559554312983188e-05,0.002380658109845607,-1.767682536664719e-05,1.4973029752354658e-06,-7.900959413208317e-06,-1.487675017140113e-06,-0.00016825358208785864,-1.4190581470949608e-05,6.911035729696185e-06,-1.5623194628115127e-05,-2.9180523488883876e-06,-2.9225108886283825e-06,-0.00010971825551545605
m5_1D__timesfm25__vs__seasonal_naive__WAPE,-9.96135957151857e-07,3.2714852956203547e-06,5.646200995550458e-06,-2.7515011343703418e-06,-1.1282004888761687e-05,2.1021529277691796e-06,4.676838586997554e-08,-3.8869900471321645e-06,-1.767682536664719e-05,3.335120665973407e-05,9.352656060045673e-08,1.5730173304730774e-07,4.783547506457729e-07,1.6670867789856404e-05,-3.268488271570557e-06,-2.6460033138393607e-06,-3.2436290514986913e-06,-3.2850288359983156e-07,1.5070341040073314e-07,-1.5229709230351258e-06
