contrast_id,task_name,model_name,baseline_name,metric,n_pairs,n_valid_pairs,model_wape_mean,baseline_wape_mean,log_ratio,bootstrap_mean,bootstrap_se,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D,tirex,seasonal_naive,mean_series_window_WAPE,15790,15463,0.3831820995684542,0.6094479260853018,-0.4640431761880169,-0.46404964906828866,0.013802140288266934,-0.492788396842985,-0.43862709246648696,0.6287364074397094,0.6109205281020236,0.6449212307794725
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M,tirex,seasonal_naive,mean_series_window_WAPE,3158,3142,0.3405668857360646,0.3781579534338387,-0.10470043438615903,-0.10469663130456282,0.020121282410962633,-0.14749790523937525,-0.07000954349995633,0.9005942692559263,0.8628642458135289,0.932384921648029
favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W,tirex,seasonal_naive,mean_series_window_WAPE,15790,15250,0.32230913010820195,0.4668273104687501,-0.3704482880171932,-0.37112558864393674,0.07147862852703935,-0.5216967580493805,-0.2486981752100651,0.6904247521092227,0.593512645769801,0.7798153054591451
favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D,tirex,seasonal_naive,mean_series_window_WAPE,510,505,0.08678400644296964,0.1525472290987751,-0.56405189998967,-0.5627658791827834,0.043728295907921946,-0.6373926585122133,-0.4720544730421874,0.5688992645469592,0.5286690493426955,0.6237195360917474
favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M,tirex,seasonal_naive,mean_series_window_WAPE,102,101,0.10195836112846302,0.12004353466383169,-0.16328996014802,-0.1639231525225285,0.057255675584164084,-0.28775102662240387,-0.06660647823297944,0.8493448765398807,0.749948286154996,0.9355632934262903
favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W,tirex,seasonal_naive,mean_series_window_WAPE,510,496,0.07283055930666188,0.09038516162733241,-0.2159444748154297,-0.21791970410572364,0.04195847601129895,-0.3023791013852036,-0.13852432333162237,0.8057800417169135,0.7390578339263278,0.8706420740956751
hermes__tirex__vs__seasonal_naive__WAPE,hermes,tirex,seasonal_naive,mean_series_window_WAPE,10000,10000,0.19776414741519238,0.24116356069304187,-0.19840023235838208,-0.19841615361979476,0.002492758735305862,-0.2032697303503442,-0.19336699036391336,0.8200415802738574,0.8160580961008443,0.8241794527139982
hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D,tirex,seasonal_naive,mean_series_window_WAPE,1180,1180,0.789827986783959,1.248309700820996,-0.4577304923479729,-0.4575566206885032,0.03493626348954615,-0.5320770634708095,-0.396938417346202,0.6327179755668807,0.587383668596109,0.6723754310211082
hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W,tirex,seasonal_naive,mean_series_window_WAPE,1180,1180,0.4516632581107512,0.7605987247966229,-0.5211690209182331,-0.5198856676159078,0.049250215349008794,-0.6169392947204473,-0.4203758589660858,0.5938259470938789,0.5395934492569602,0.6567999092813668
m5_1D__tirex__vs__seasonal_naive__WAPE,m5_1D,tirex,seasonal_naive,mean_series_window_WAPE,30490,30490,1.00026359962301,1.593893632400403,-0.4659162832675449,-0.465878604910764,0.005670095198487494,-0.4764231173090553,-0.4540833935605128,0.627559819105754,0.6210006705186555,0.6350297736438582
