contrast_id_row,contrast_id_col,covariance
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,0.00019049907653700154
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,-7.974127552902341e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,-4.983512258188845e-05
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1D__tirex__vs__seasonal_naive__WAPE,3.394241447166751e-05
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1M__tirex__vs__seasonal_naive__WAPE,-6.833394098946802e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,favorita_transactions_1W__tirex__vs__seasonal_naive__WAPE,-1.7789155550010366e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,hermes__tirex__vs__seasonal_naive__WAPE,1.0145499139020809e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1D__tirex__vs__seasonal_naive__WAPE,-5.259758274000392e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,hierarchical_sales_1W__tirex__vs__seasonal_naive__WAPE,-4.375267405881906e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,m5_1D__tirex__vs__seasonal_naive__WAPE,-6.323469320436913e-07
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,m5_1M__tirex__vs__seasonal_naive__WAPE,-2.7862575491045857e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,m5_1W__tirex__vs__seasonal_naive__WAPE,-7.804214918480207e-07
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,restaurant__tirex__vs__seasonal_naive__WAPE,1.9132829793413644e-07
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1D__tirex__vs__seasonal_naive__WAPE,2.1226067833940437e-05
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,rohlik_orders_1W__tirex__vs__seasonal_naive__WAPE,-1.8827609912309908e-05
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1D__tirex__vs__seasonal_naive__WAPE,6.9647954468690046e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,rohlik_sales_1W__tirex__vs__seasonal_naive__WAPE,-1.012711127911497e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1D__tirex__vs__seasonal_naive__WAPE,-1.1235863601415644e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,rossmann_1W__tirex__vs__seasonal_naive__WAPE,-1.2544201418099046e-06
favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,walmart__tirex__vs__seasonal_naive__WAPE,9.405638361244003e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1D__tirex__vs__seasonal_naive__WAPE,-7.974127552902341e-06
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,0.0004048660058617153
favorita_stores_1M__tirex__vs__seasonal_naive__WAPE,favorita_stores_1W__tirex__vs__seasonal_naive__WAPE,8.255135943474261e-06
