dataset_norm,horizon_bucket,metric_name,fm,ml_tree,n_fm,n_mltree,n_series_hm,delta,log_ratio,vi
Favorita,long,MASE,1.2369714285714286,1.304425,14,4,98.8085889570552,-0.06745357142857134,-0.05309633486114408,0.0032530428257433433
Favorita,long,SQL,0.9912214285714286,1.304425,14,4,98.8085889570552,-0.31320357142857136,-0.27457966073326334,0.0032530428257433433
Favorita,long,WAPE,0.22044736842105261,0.3415625,19,8,132.75081427291968,-0.12111513157894738,-0.437871703943434,0.0013380827825445899
Favorita,medium,MASE,1.9831285714285714,2.019825,28,8,131.7447852760736,-0.03669642857142863,-0.01833518973367391,0.001219891059653754
Favorita,medium,SQL,1.6822821428571428,2.019825,28,8,131.7447852760736,-0.33754285714285714,-0.18285958402983732,0.001219891059653754
Favorita,medium,WAPE,0.17747272727272725,0.2740416666666667,33,12,153.02760488197782,-0.09656893939393943,-0.4344632150109114,7.42587350328102e-4
Favorita,short,WAPE,0.49778,0.5404,5,4,432.50671534588906,-0.04261999999999999,-0.08215139373748295,0.0010404462729327129
Hermes,long,MASE,0.8931142857142857,1.1747,7,2,10000,-0.28158571428571433,-0.27405352261874555,6.428571428571429e-5
Hermes,long,SQL,0.7068571428571429,1.1747,7,2,10000,-0.4678428571428572,-0.5079394903727751,6.428571428571429e-5
Hermes,long,WAPE,0.0033285714285714286,0.00455,7,2,10000,-0.0012214285714285717,-0.3125840214465174,6.428571428571429e-5
Hierarchical Sales,long,MASE,0.6895142857142857,0.6869000000000001,7,2,118,0.00261428571428568,0.0037986947463635014,0.005447941888619854
Hierarchical Sales,long,SQL,0.5539,0.6869000000000001,7,2,118,-0.13300000000000012,-0.2152045561807779,0.005447941888619854
Hierarchical Sales,long,WAPE,0.6983714285714285,0.6893,7,2,118,0.009071428571428508,0.013074503962231764,0.005447941888619854
Hierarchical Sales,medium,MASE,0.7462,0.7867500000000001,21,2,118,-0.040550000000000086,-0.052916875157458874,0.004640839386602099
Hierarchical Sales,medium,SQL,0.5178,0.7867500000000001,21,2,118,-0.26895,-0.418321468627079,0.004640839386602099
Hierarchical Sales,medium,WAPE,0.5199666666666667,0.4427,21,2,118,0.0772666666666667,0.160872367218618,0.004640839386602099
M5,long,MASE,0.8749666666666667,0.9092,6,2,30489.999999999996,-0.03423333333333334,-0.03837930158451091,2.1865092380015308e-5
M5,long,SQL,0.7169666666666666,0.9092,6,2,30489.999999999996,-0.19223333333333337,-0.23753574246411055,2.1865092380015308e-5
M5,long,WAPE,0.7984363636363636,1.229475,11,4,3724.393875280795,-0.4310386363636365,-0.4316872583838185,9.153411328800144e-5
M5,long,WRMSSE,0.9706,0.5609714285714286,1,7,30489.999999999996,0.40962857142857145,0.5482444622080629,3.748301550859767e-5
M5,medium,MASE,1.1646928571428572,1.15365,14,4,29916.408594245997,0.011042857142857132,0.009526581131521517,1.0744223205000405e-5
M5,medium,SQL,0.9515071428571429,1.15365,14,4,29916.408594245997,-0.20214285714285718,-0.19263891451922216,1.0744223205000405e-5
M5,medium,WAPE,0.5577263157894737,0.8108,19,6,5725.065969716575,-0.25307368421052623,-0.3741530460135703,3.83049290216112e-5
M5,short,WAPE,0.9019,1.4879,5,2,1859.189698242572,-0.586,-0.5006173596619893,3.765081103136952e-4
Restaurant,long,MASE,0.8621714285714286,0.9554,7,2,813,-0.09322857142857144,-0.10267597701209108,7.907221929362151e-4
Restaurant,long,SQL,0.6873285714285714,0.9554,7,2,813,-0.2680714285714286,-0.32931765315752776,7.907221929362151e-4
Restaurant,long,WAPE,0.3619142857142857,0.4071,7,2,813,-0.04518571428571433,-0.11765145151471443,7.907221929362151e-4
Rohlik,long,MASE,1.2919714285714285,1.2008999999999999,7,2,7,0.09107142857142869,0.07309801532258761,0.09183673469387754
Rohlik,long,SQL,1.0639571428571428,1.2008999999999999,7,2,7,-0.13694285714285703,-0.12107616484588202,0.09183673469387754
Rohlik,long,WAPE,0.183075,0.311,12,6,13.979400718707923,-0.127925,-0.5298970072321006,0.017883456167433393
