label,k,estimate,se,ci_lb,ci_ub,pval,pi_lb,pi_ub,n_suite_clusters,n_task_clusters,n_study_clusters
omit b02_fev_favorita_stores_1d,477,-0.2252434374251919,0.14271306053120134,-2.038584803060729,1.5880979282103456,0.3595348063946869,-3.944067064636511,3.493580189786127,2,23,2
omit b02_fev_favorita_stores_1m,477,-0.22349426349115592,0.14459614979642835,-2.060762546867161,1.613774019884849,0.36557809882718545,-3.973967739112418,3.526979212130106,2,23,2
omit b02_fev_favorita_stores_1w,477,-0.22673975850201647,0.14120284415102533,-2.0208920056151127,1.5674124886110798,0.35458562506017655,-3.912930033545761,3.459450516541728,2,23,2
omit b02_fev_favorita_transactions_1d,477,-0.22395910417346587,0.1441361301148286,-2.0553822832923943,1.6074640749454625,0.3640513126843008,-3.9672094295652744,3.5192912212183423,2,23,2
omit b02_fev_favorita_transactions_1m,477,-0.22305303592466816,0.14518264650482282,-2.0677734665546255,1.6216673947052893,0.36732931694394816,-3.9825352740360596,3.536429202186723,2,23,2
omit b02_fev_favorita_transactions_1w,477,-0.22938718133929836,0.1388048485581593,-1.9930700054929944,1.534295642814398,0.3464291070019567,-3.8504381454912413,3.391663782812645,2,23,2
omit b02_fev_hermes,477,-0.2194153988955226,0.15029924359296992,-2.1291483596799923,1.6903175618889472,0.3823454359729908,-4.004259341267905,3.5654285434768593,2,23,2
omit b02_fev_hierarchical_sales_1d,477,-0.22561571790645463,0.14233806077923988,-2.034192259917555,1.582960824104646,0.35830334982818834,-3.93656906939423,3.4853376335813206,2,23,2
omit b02_fev_hierarchical_sales_1w,477,-0.22501668069306072,0.14296295564249129,-2.0415332647752176,1.591499903389096,0.36032870554458263,-3.948428376249015,3.4983950148628935,2,23,2
omit b02_fev_m5_1d,480,-0.22445322688785516,0.14392737686769283,-2.053223944509335,1.6043174907336248,0.3629937112696586,-3.9776864633266253,3.528780009550915,2,23,2
omit b02_fev_m5_1m,477,-0.22608902221485172,0.1419957786751442,-2.030316457733784,1.5781384133040806,0.35701087456614,-3.934523388731007,3.4823453443013035,2,23,2
omit b02_fev_m5_1w,477,-0.22573453051191475,0.14260985339941198,-2.0377645252007035,1.5862954641768738,0.35870026817950906,-3.9545037861945334,3.5030347251707035,2,23,2
omit b02_fev_restaurant,477,-0.22279861274335727,0.14548702847193865,-2.071386582965488,1.6257893574787734,0.36827169660279024,-3.98719176288621,3.541594537399495,2,23,2
omit b02_fev_rohlik_orders_1d,477,-0.22746371094121384,0.14061920492108823,-2.014200118506666,1.5592726966242385,0.35249515781145746,-3.8921117480205996,3.4371843261381723,2,23,2
omit b02_fev_rohlik_orders_1w,477,-0.2288773041300451,0.13932537801078337,-1.9991740820799917,1.5414194738199014,0.3481143619388554,-3.859130578845066,3.401375970584976,2,23,2
omit b02_fev_rohlik_sales_1d,480,-0.22706101761245878,0.14084702361463067,-2.0166921361407892,1.5625701009158717,0.3534613661172972,-3.903372619348965,3.449250584124047,2,23,2
omit b02_fev_rohlik_sales_1w,477,-0.22331531725672885,0.14481058568894917,-2.0633082669858873,1.6166776324724297,0.3662412383592966,-3.977220841236999,3.5305902067235415,2,23,2
omit b02_fev_rossmann_1d,477,-0.24503217929126317,0.1277072168762187,-1.867706223207563,1.3776418646250368,0.3058652450036467,-3.3959778548294297,2.905913496246903,2,23,2
omit b02_fev_rossmann_1w,477,-0.2198386620464526,0.14960493885003562,-2.120749644617902,1.6810723205249969,0.3804014407883344,-4.012982466558907,3.5733051424660016,2,23,2
omit b02_fev_walmart,477,-0.21921495108700995,0.15070775354323307,-2.1341385229362877,1.695708620762268,0.3834230532015802,-4.010774539553998,3.5723446373799788,2,23,2
omit b03_gift_car_parts_m,477,-0.2240720319238669,0.14599978457944335,-2.079175186227676,1.6310311223799425,0.3676363239937911,-3.9844454687766544,3.536301404928921,2,23,2
omit b03_gift_hierarchical_sales_d,477,-0.236921965008721,0.15751890134581403,-2.238389375325939,1.7645454453084968,0.3735352240720937,-4.2062174003972554,3.7323734703798133,2,23,2
omit b03_gift_hierarchical_sales_w,477,-0.2170948674787705,0.13942509061529332,-1.9886586141963976,1.5544688792388566,0.36344267994173063,-3.854671754709011,3.42048201975147,2,23,2
omit b03_gift_restaurant_d,477,-0.20453518992094152,0.1278020199012618,-1.828413820483048,1.419343440641165,0.355542680405605,-3.6209031983941005,3.2118328185522174,2,23,2
