dataset,horizon,contrast,recursive_WAPE_aggregate,direct_WAPE_aggregate,relative_change,scaled_WAPE_aggregate
M5,7,direct_minus_recursive,0.3196174546295087,0.3209322525414624,0.004113661168717364,
M5,7,direct_scaled_minus_direct,0.3196174546295087,0.3209322525414624,0.0,0.3209322525414624
M5,14,direct_minus_recursive,0.3336872170426434,0.3372664171047394,0.010726212690486792,
M5,14,direct_scaled_minus_direct,0.3336872170426434,0.3372664171047394,0.0010481591007476254,0.3376199259692043
M5,28,direct_minus_recursive,0.3666184619172741,0.3588244482354801,-0.021259195843641665,
M5,28,direct_scaled_minus_direct,0.3666184619172741,0.3588244482354801,0.014776439847721923,0.3641265961107237
Rohlik,7,direct_minus_recursive,0.1911841592081226,0.1992666303451535,0.0422758411079045,
Rohlik,7,direct_scaled_minus_direct,0.1911841592081226,0.1992666303451535,0.0,0.1992666303451535
Rohlik,14,direct_minus_recursive,0.1993355008800986,0.2070928993526918,0.03891629157045795,
Rohlik,14,direct_scaled_minus_direct,0.1993355008800986,0.2070928993526918,0.0077352457328740964,0.2086948138187182
Rohlik,28,direct_minus_recursive,0.2088022306334394,0.2177766651205901,0.04298054891427716,
Rohlik,28,direct_scaled_minus_direct,0.2088022306334394,0.2177766651205901,0.02788142287848272,0.223848588413883
Favorita,7,direct_minus_recursive,0.2705779507475329,0.282981359196845,0.045840425707434296,
Favorita,7,direct_scaled_minus_direct,0.2705779507475329,0.282981359196845,0.0,0.282981359196845
Favorita,14,direct_minus_recursive,0.2827414179938272,0.288949202354832,0.02195569508369788,
Favorita,14,direct_scaled_minus_direct,0.2827414179938272,0.288949202354832,0.00729493350918653,0.291057067573543
Favorita,28,direct_minus_recursive,0.3069146491201102,0.2917920080338838,-0.04927311592842287,
Favorita,28,direct_scaled_minus_direct,0.3069146491201102,0.2917920080338838,0.021418961806624504,0.2980418899094398
