contrast_id,Favorita_h7_chronos2_vs_lightgbm_cov,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_moirai2_vs_lightgbm_cov,Favorita_h7_timesfm25_vs_lightgbm_cov,Favorita_h7_tirex_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_tuned_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_tuned_cov,Favorita_h14_moirai2_vs_lightgbm_tuned_cov,Favorita_h14_timesfm25_vs_lightgbm_tuned_cov,Favorita_h14_tirex_vs_lightgbm_tuned_cov,Favorita_h28_chronos2_vs_lightgbm_tuned_direct,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_tuned_direct,Favorita_h28_moirai2_vs_lightgbm_tuned_direct,Favorita_h28_timesfm25_vs_lightgbm_tuned_direct,Favorita_h28_tirex_vs_lightgbm_tuned_direct,M5_h7_chronos2_vs_lightgbm_tuned_cov,M5_h7_chronos_bolt_tiny_vs_lightgbm_tuned_cov,M5_h7_moirai2_vs_lightgbm_tuned_cov,M5_h7_timesfm25_vs_lightgbm_tuned_cov,M5_h7_tirex_vs_lightgbm_tuned_cov,M5_h14_chronos2_vs_lightgbm_rich_tuned,M5_h14_chronos_bolt_tiny_vs_lightgbm_rich_tuned,M5_h14_moirai2_vs_lightgbm_rich_tuned,M5_h14_timesfm25_vs_lightgbm_rich_tuned,M5_h14_tirex_vs_lightgbm_rich_tuned,M5_h28_chronos2_vs_lightgbm_rich_tuned,M5_h28_chronos_bolt_tiny_vs_lightgbm_rich_tuned,M5_h28_moirai2_vs_lightgbm_rich_tuned,M5_h28_timesfm25_vs_lightgbm_rich_tuned,M5_h28_tirex_vs_lightgbm_rich_tuned,Rohlik_h7_chronos2_vs_lightgbm_cov,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_moirai2_vs_lightgbm_cov,Rohlik_h7_timesfm25_vs_lightgbm_cov,Rohlik_h7_tirex_vs_lightgbm_cov,Rohlik_h14_chronos2_vs_lightgbm_cov,Rohlik_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_tirex_vs_lightgbm_cov,Rohlik_h28_chronos2_vs_lightgbm_cov,Rohlik_h28_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_moirai2_vs_lightgbm_cov,Rohlik_h28_timesfm25_vs_lightgbm_cov,Rohlik_h28_tirex_vs_lightgbm_cov
Favorita_h14_chronos2_vs_lightgbm_tuned_cov,0.00012678793115406542,2.944154885240734e-06,4.819870261225479e-05,-4.9554690971294335e-05,0.00013628072329628792,0.00016735371087899518,4.228882078978406e-05,7.098705027733646e-05,-8.877642008201303e-06,0.00014721904326082347,0.00022859653281683822,0.00015985427369374816,0.00012757341146172406,9.707473444776367e-05,0.00018611067500907922,-1.4819523043823984e-07,-8.064292568795102e-07,-4.6783271970718524e-08,-5.911407725715957e-07,1.2683098456082962e-07,3.1947504089089307e-06,2.9387263216708247e-06,-1.101036455876675e-06,-3.108745863882877e-07,2.0408301119062864e-06,-4.451839989687959e-06,-2.182468718707511e-06,-7.667681434186017e-06,-6.377859286250445e-06,-2.7306408240212034e-06,-3.0959860188428113e-06,-1.3141486993444368e-06,-1.354263542749647e-07,-1.882566183181124e-06,-3.3255997795740496e-06,-5.755752823846658e-06,-4.046158715513981e-06,-4.152476228990326e-06,-4.0166318713404826e-06,-6.082453542133122e-06,-1.0113163112176013e-05,-7.1965918586602806e-06,-1.1036441092869455e-05,-8.836305999132852e-06,-1.0463205204168454e-05
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_tuned_cov,7.081853350006559e-06,0.0006195286693516667,8.098089955155584e-06,0.0002829743731529098,5.537464823044204e-05,4.228882078978406e-05,0.0006001142900253233,6.716540914125184e-05,0.0003196156086456072,0.00010880819600793989,-8.015444339842361e-05,0.0003907172174233447,-2.082139056933228e-05,0.0001807612458408906,1.6185397137960147e-05,-7.696353448404818e-06,-1.166639965993471e-05,-9.664025777522236e-06,-8.480085685489835e-06,-1.0739833604290659e-05,-3.713804809301882e-06,-6.415866575499277e-06,-3.5250146141062954e-06,-3.437535944337706e-06,-5.506732177055689e-06,-8.52789203267012e-06,-1.0029858794489758e-05,-1.1223886770605477e-05,-7.222037875865673e-06,-9.64849893466876e-06,1.2428804604262664e-05,1.7821581648947584e-05,1.4052705390710612e-05,1.5479899345376625e-05,2.012504964476933e-05,1.1732891637724605e-05,1.603046155491734e-05,9.502239480229346e-06,1.0312148077405029e-05,2.1086020338690975e-05,5.536097985974866e-06,1.1354545362507961e-05,6.093842478960879e-06,8.968576376588057e-06,1.6888746787615326e-05
Favorita_h14_moirai2_vs_lightgbm_tuned_cov,6.008033923388231e-05,5.828726632563313e-05,6.49895405435168e-05,4.925287313174021e-05,6.764520348136734e-05,7.098705027733646e-05,6.716540914125184e-05,7.773943063940316e-05,6.426505009265894e-05,7.497967029060935e-05,9.971337074396515e-05,0.00010522919745777472,0.0001074668034676567,0.00010421253546696315,0.00011120132633584769,-1.3470115883012122e-06,-2.5325776066336874e-06,-1.152271886803067e-06,-1.9091514406294394e-06,-7.611654765719984e-07,5.144948108563068e-07,1.656143514860358e-07,-4.963456179959639e-07,-1.3826981213796016e-06,3.560035760721639e-07,-3.512430080155965e-06,-3.2718267863037622e-06,-2.5546282263642603e-06,-4.759029705265719e-06,-3.3548152610161117e-06,-2.3773433536301892e-06,-2.366009136982771e-06,-8.503055812450861e-07,-2.4731834061476564e-07,-5.357518800759047e-07,-1.761779263294326e-06,-1.4949098613002674e-06,1.3728935510938448e-07,7.144673477866982e-07,1.0420633374937313e-06,-3.1888564343405646e-06,-3.1944543924213767e-06,-2.327648092679732e-06,-1.805290787269146e-06,-1.174606828612714e-06
Favorita_h14_timesfm25_vs_lightgbm_tuned_cov,-1.45442392432788e-05,0.0003447361339587254,3.118398532206815e-05,0.00026173206366270145,-5.7514864745947516e-06,-8.877642008201303e-06,0.0003196156086456072,6.426505009265894e-05,0.0002691625722375526,2.946566394457653e-05,-0.00010726548650603293,0.00014212918898798486,-1.0589315078515783e-05,0.00013161516035330932,-2.450791341851998e-05,-5.244903341692115e-06,-6.797822861023621e-06,-7.063746334340904e-06,-5.966672960392622e-06,-6.786094155745117e-06,-1.715349483036046e-06,-1.139043933159225e-06,-5.389428919825753e-07,-1.2157179699459369e-06,-1.6040006043822305e-06,-2.3366822940489377e-06,-2.970774963842003e-06,-1.8735473118538365e-06,-2.5063462503963524e-06,-2.8828564173271493e-06,4.780720001290266e-06,6.991635324872128e-06,2.5324231379939814e-06,5.562268625389802e-06,7.708189238904894e-06,5.699626034684399e-06,7.599750394656408e-06,1.9702518210734975e-06,2.2501064047454197e-06,8.51599174105191e-06,4.158153591417822e-06,5.511439471430091e-06,2.4267411447429777e-06,1.64956456794776e-06,6.658140992997587e-06
Favorita_h14_tirex_vs_lightgbm_tuned_cov,0.00011076741762690476,7.82909670008109e-05,4.9179382776120355e-05,-8.744674193434515e-06,0.0001299803152220891,0.00014721904326082347,0.00010880819600793989,7.497967029060935e-05,2.946566394457653e-05,0.00014447283877972242,0.00018910538195422732,0.00018961776392171465,0.0001166463616020286,0.00010870497142996676,0.00017088753291634104,-1.154976242015864e-06,-2.116644585478584e-06,-9.853853238851718e-07,-1.2615842470571528e-06,-9.58142948896878e-07,1.7218728507795659e-06,1.398561479196212e-06,-1.5859818918722682e-06,-7.887346079154055e-07,8.640462497852816e-07,-5.778966968086276e-06,-3.6655795749115433e-06,-8.701034607719822e-06,-7.3184825360442165e-06,-3.9251590474038335e-06,-1.21782252041415e-07,1.719098918782055e-06,3.841532654352336e-06,1.9232769551830673e-06,1.2386024962502216e-06,-2.3357511594988077e-06,-5.642527199777712e-07,5.734452332654643e-07,4.682654482804386e-07,1.900973570196734e-08,-6.879934879291685e-06,-3.963175633349074e-06,-6.019313141093611e-06,-4.067181282135086e-06,-4.2965450287578155e-06
Favorita_h28_chronos2_vs_lightgbm_tuned_direct,0.00018662115832560758,-0.00012491532551370276,9.45003049844644e-05,-0.00014921101990976275,0.00020965799030472917,0.00022859653281683822,-8.015444339842361e-05,9.971337074396515e-05,-0.00010726548650603293,0.00018910538195422732,0.0005640600272095014,0.00036948608495394354,0.00041876473094771573,0.0003144540480322373,0.0004842587810073664,1.8745602786074202e-06,2.9322119831813485e-06,3.6770548006284305e-06,2.1801226391765096e-06,4.586416469379509e-06,4.407000474135824e-06,7.746678893292196e-06,1.3657866165646468e-06,-7.973834867163921e-08,5.595410723894063e-06,-5.950288653456931e-06,1.3208869257744225e-07,-6.729276767349658e-06,-1.0487758477669792e-05,-1.716196311345651e-06,-1.3467160727597037e-05,-1.434662223741826e-05,-1.1732826955975597e-05,-1.3167686112015807e-05,-1.6119641372295513e-05,-1.1926193428868709e-05,-1.176214194495037e-05,-1.0753033261804493e-05,-9.417189815236047e-06,-1.5181270455611456e-05,-1.756409919644879e-05,-1.3459996733218188e-05,-1.884591216191934e-05,-1.859723032469917e-05,-2.1137326760381083e-05
Favorita_h28_chronos_bolt_tiny_vs_lightgbm_tuned_direct,0.00011376222677230674,0.0003857168045384362,6.80554489984228e-05,9.448128394440972e-05,0.0001769743025109412,0.00015985427369374816,0.0003907172174233447,0.00010522919745777472,0.00014212918898798486,0.00018961776392171465,0.00036948608495394354,0.0006237954735808899,0.00033362492621960706,0.00041093210630557445,0.00039733861558659554,-4.42046105646846e-06,-6.346933040456527e-06,-4.119259982409219e-06,-4.167686027616439e-06,-4.2397852494933075e-06,-1.2023578337569412e-06,-4.5062320457998074e-07,-1.113610916259944e-06,-3.0695849479921584e-06,-6.953121999318959e-07,-1.0932494761148934e-05,-7.618969540421882e-06,-1.1128996216630887e-05,-1.2239288470859837e-05,-8.576844214227303e-06,-3.2583615825264295e-06,-1.350826794799135e-06,-1.902334202815161e-06,-9.03992407505656e-07,1.9183646533882106e-06,-9.471912165611032e-07,1.7158686316287053e-06,-2.0460627915215987e-06,-1.8353549395290537e-07,5.210857501724054e-06,-1.0133067370635964e-05,-2.3810367863179893e-06,-8.931912816431484e-06,-7.443429397273688e-06,-1.962217555112482e-06
Favorita_h28_moirai2_vs_lightgbm_tuned_direct,0.00011488713983674292,-3.1773828132419785e-05,0.00010970281021819442,-2.6493301047388117e-05,0.00013786284316377712,0.00012757341146172406,-2.082139056933228e-05,0.0001074668034676567,-1.0589315078515783e-05,0.0001166463616020286,0.00041876473094771573,0.00033362492621960706,0.0003952447333489456,0.00033378744402682474,0.0004047944040163489,-3.6598756470160344e-07,-3.519486008308102e-07,1.2035940790316098e-06,-5.074365737653825e-07,2.2511132393719082e-06,5.66650804552469e-07,3.5304209017194685e-06,1.3135808417502138e-06,-2.3705417214799492e-06,2.7776357683730024e-06,-5.817047155927933e-06,-2.1717983013716317e-06,-1.1576249531551607e-06,-8.971216125573e-06,-3.661481590244579e-06,-1.2349718304006158e-05,-1.4665100015986688e-05,-1.2805715139447786e-05,-1.1365762002497671e-05,-1.2611322867561573e-05,-8.387428996142605e-06,-9.100209126903665e-06,-7.607617661137789e-06,-5.867600703577401e-06,-8.298072371890166e-06,-1.18609917963639e-05,-9.903384852168339e-06,-1.1436175880216395e-05,-1.2684628193292973e-05,-1.2395892359908218e-05
Favorita_h28_timesfm25_vs_lightgbm_tuned_direct,7.881060835467195e-05,0.00018759616748296472,8.663208095679024e-05,0.00011150197108764635,0.00010824705646699969,9.707473444776367e-05,0.0001807612458408906,0.00010421253546696315,0.00013161516035330932,0.00010870497142996676,0.0003144540480322373,0.00041093210630557445,0.00033378744402682474,0.0003807125136112731,0.0003440685208761479,-2.66866058054542e-06,-2.5800611582905035e-06,-2.5995783282912893e-06,-2.5292240268838645e-06,-1.5768692434781452e-06,1.0949108737582667e-08,4.12406750288174e-06,1.4920679612157793e-06,-1.3181012241765792e-06,2.392041362676428e-06,-4.976935315685888e-06,-1.1383908093182703e-06,-3.0212331872660867e-06,-7.77106216041507e-06,-2.4971791124860974e-06,-8.831424833822901e-06,-9.577271973733485e-06,-1.1520624169911154e-05,-8.681486168306409e-06,-7.80640626337259e-06,-4.988889994974409e-06,-4.145479645721688e-06,-7.837459062428556e-06,-6.556926864731414e-06,-4.539749773173641e-06,-9.276385373815113e-06,-5.641952816610683e-06,-1.0431275394617376e-05,-1.253858698875933e-05,-9.046585721780074e-06
Favorita_h28_tirex_vs_lightgbm_tuned_direct,0.00015594628927170494,-9.16093775426825e-06,0.00010422274296670848,-5.641844177191094e-05,0.00018649644915005317,0.00018611067500907922,1.6185397137960147e-05,0.00011120132633584769,-2.450791341851998e-05,0.00017088753291634104,0.0004842587810073664,0.00039733861558659554,0.0004047944040163489,0.0003440685208761479,0.000455272130385725,-5.203763984891939e-07,7.05243404088679e-08,1.344279594794459e-06,-7.211967813059125e-08,2.0961323748575354e-06,1.7986164224373283e-06,5.369265562344118e-06,1.4109516337869121e-06,-1.2990204813751209e-06,3.7239739679071553e-06,-6.7859720282338206e-06,-1.585582685545142e-06,-5.282684594236975e-06,-1.0734061347839233e-05,-3.154006793470731e-06,-1.1655009319504638e-05,-1.2379175952035634e-05,-1.0075381894206028e-05,-1.053657393915621e-05,-1.204251037318243e-05,-9.35343285572462e-06,-8.707568128826624e-06,-7.763070826108101e-06,-6.557493248605828e-06,-9.272064038020533e-06,-1.498019241738943e-05,-1.0785790825066822e-05,-1.423728184320086e-05,-1.485827599992267e-05,-1.489013840934099e-05
