contrast_i,contrast_j,covariance,correlation
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_cov,0.00012641135668389089,1.0
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,3.288497323139529e-05,0.11725256730853878
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h14_moirai2_vs_lightgbm_cov,5.5995255381903174e-05,0.5288113797840318
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h14_timesfm25_vs_lightgbm_cov,9.937782744769644e-06,0.047399282194505225
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h14_tirex_vs_lightgbm_cov,0.00011039447894281682,0.9287510733751564
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h28_chronos2_vs_lightgbm_direct,0.00020532883943425665,0.6044321665240937
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,0.0001498622370464489,0.4395242756629048
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h28_moirai2_vs_lightgbm_direct,0.0001332815764039162,0.47922661951927703
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h28_timesfm25_vs_lightgbm_direct,0.00011619859669872219,0.44344605374121
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h28_tirex_vs_lightgbm_direct,0.00017740945634772353,0.5801847245040482
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h7_chronos2_vs_lightgbm_cov,0.00010810348730755369,0.9110807428530282
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov,1.589871039057423e-05,0.05496187022268447
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h7_moirai2_vs_lightgbm_cov,4.874951892427705e-05,0.5041133776014329
Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h7_timesfm25_vs_lightgbm_cov,-8.005270292684875e-06,-0.042771228443934085
