dataset,horizon,model_name,baseline_model,n_series,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,bootstrap_se,ci95_low,ci95_high,n_boot
Favorita,7,chronos2,lightgbm_tuned_cov,100,0.24843651588458968,0.27057795074753294,-0.08537288597015666,0.011007116087696113,-0.10847808708905674,-0.0638027348828,1000
Favorita,7,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.3270576095914527,0.27057795074753294,0.18957610190901308,0.024510310450088918,0.14264610335027372,0.23633744846496144,1000
Favorita,7,moirai2,lightgbm_tuned_cov,100,0.2640473663648241,0.27057795074753294,-0.024431724490301135,0.008728334450975801,-0.04130779623760738,-0.00634087183729656,1000
Favorita,7,timesfm25,lightgbm_tuned_cov,100,0.2751623752395243,0.27057795074753294,0.016801149241111535,0.017130424125880145,-0.014508723423365419,0.051090431895830894,1000
Favorita,7,tirex,lightgbm_tuned_cov,100,0.2577002221482755,0.27057795074753294,-0.04876324989155045,0.011947549128519802,-0.07173022631880654,-0.02640565217519695,1000
Favorita,14,chronos2,lightgbm_tuned_cov,100,0.2545926701453526,0.27746560862495173,-0.08603209660256739,0.013316744002597193,-0.1120844234750385,-0.0610831287606421,1000
Favorita,14,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.33007218543629063,0.27746560862495173,0.17361438166281823,0.02378701502558488,0.12675639567039854,0.2189388636062534,1000
Favorita,14,moirai2,lightgbm_tuned_cov,100,0.27247283491290597,0.27746560862495173,-0.01815807188204303,0.008763925300439854,-0.03514805100704445,-0.0004385947236236935,1000
Favorita,14,timesfm25,lightgbm_tuned_cov,100,0.2829374883410056,0.27746560862495173,0.019528991366097894,0.016686256412667678,-0.013498262005459019,0.05158223560011933,1000
Favorita,14,tirex,lightgbm_tuned_cov,100,0.26489964129756377,0.27746560862495173,-0.04634595045109284,0.012120647783810098,-0.06977213710937974,-0.022700641842737235,1000
Favorita,28,chronos2,lightgbm_tuned_cov,100,0.2702955679110351,0.30125845359304393,-0.10845248990832741,0.011573815098788387,-0.13101647532054927,-0.08579646106584529,1000
Favorita,28,chronos_bolt_tiny,lightgbm_tuned_cov,100,0.33655131074460803,0.30125845359304393,0.11078207496879532,0.020063690346574906,0.06978777536839702,0.14796156897061877,1000
Favorita,28,moirai2,lightgbm_tuned_cov,100,0.286948731415556,0.30125845359304393,-0.04866498251124392,0.010128284836934058,-0.0690311439159183,-0.030266855909262327,1000
