dataset,horizon,model_name,unmatched_saved_sweep_wape,unmatched_saved_sweep_n_series,legacy_100_series_n_valid,legacy_100_series_bootstrap_wape,legacy_100_series_bootstrap_se,wape_delta_saved_minus_legacy,workload_note
Favorita,7,chronos2,0.4769,2992.0,100.0,0.5253,0.0078,-0.0484,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,7,chronos_bolt_tiny,0.4819,2992.0,100.0,0.5321,0.0075,-0.05020000000000002,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,7,moirai2,0.4771,151757.0,100.0,0.5257,0.0079,-0.04859999999999992,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,7,timesfm25,0.5281,100.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,7,tirex,0.5249,100.0,100.0,0.5249,0.0077,0.0,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,14,chronos2,0.4812,2992.0,100.0,0.5325,0.0081,-0.05129999999999996,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,14,chronos_bolt_tiny,0.4853,2992.0,100.0,0.5374,0.0078,-0.05209999999999998,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,14,moirai2,0.4816,150209.0,100.0,0.5314,0.0081,-0.04980000000000001,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,14,timesfm25,0.5336,100.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,14,tirex,0.5311,100.0,100.0,0.5311,0.008,0.0,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,28,chronos2,0.486,2988.0,98.0,0.5415,0.008,-0.055499999999999994,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,28,chronos_bolt_tiny,0.4888,2988.0,98.0,0.5458,0.0078,-0.05699999999999994,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,28,moirai2,0.4873,147262.0,98.0,0.5394,0.0081,-0.05209999999999998,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,28,timesfm25,0.5418,98.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Favorita,28,tirex,0.5395,98.0,98.0,0.5395,0.0081,0.0,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
M5,7,chronos2,0.8786,3000.0,100.0,0.9323,0.0108,-0.05369999999999997,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
M5,7,chronos_bolt_tiny,0.8973,3000.0,100.0,0.9576,0.0122,-0.06030000000000002,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
M5,7,moirai2,0.8875,30490.0,100.0,0.9263,0.011,-0.03880000000000006,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
M5,7,timesfm25,0.9435,500.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
