dataset,horizon,model_name,recorded_n_series,declared_dataset_cap_or_reference,exceeds_declared_cap,plausible_count_type,interpretation_note
Favorita,7,chronos2,2992.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,7,chronos_bolt_tiny,2992.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,7,lightgbm_cov,29753.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,7,lightgbm_direct,29753.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,7,moirai2,151757.0,30000.0,True,not_unique_series_ids,Recorded n_series exceeds the declared dataset cap; treat as a workload or observation count until row-level IDs are recovered.
Favorita,7,seasonal_naive,16034.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,7,timesfm25,100.0,30000.0,False,small_sample_or_valid_series_count,"Recorded count is compatible with the legacy small-sample bootstrap workload, but row-level IDs are not available here."
Favorita,7,tirex,100.0,30000.0,False,small_sample_or_valid_series_count,"Recorded count is compatible with the legacy small-sample bootstrap workload, but row-level IDs are not available here."
Favorita,14,chronos2,2992.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,14,chronos_bolt_tiny,2992.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,14,lightgbm_cov,29753.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,14,lightgbm_direct,29753.0,30000.0,False,recorded_workload_count,"Recorded count may be unique series, valid WAPE series, or another workload denominator; the saved aggregate file does not store row-level series IDs."
Favorita,14,moirai2,150209.0,30000.0,True,not_unique_series_ids,Recorded n_series exceeds the declared dataset cap; treat as a workload or observation count until row-level IDs are recovered.
