dataset_norm,horizon_bucket,metric_name,fm,ml_tree,n_fm,n_mltree,delta
Favorita,long,WAPE,0.54265,0.56345,2,4,-0.02080000000000004
Favorita,medium,WAPE,0.53425,0.5511,2,4,-0.01685000000000003
Favorita,short,WAPE,0.5285,0.5404,2,4,-0.011900000000000022
M5,long,WAPE,0.9489000000000001,1.7245,2,2,-0.7755999999999998
M5,long,WRMSSE,0.9706,0.5609714285714286,1,7,0.40962857142857145
M5,medium,WAPE,0.94625,1.5695999999999999,2,2,-0.6233499999999998
M5,short,WAPE,0.946,1.4879,2,2,-0.5419
Rohlik,long,WAPE,0.349,0.43815,2,4,-0.08915000000000001
Rohlik,medium,WAPE,0.3304,0.40125,2,4,-0.07084999999999997
Rohlik,short,WAPE,0.31805,0.3735,2,4,-0.05545
