pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_stores_1D__Chronos-2__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,0.9164,1.22465,ML_TREE,-0.30825,-0.25170456865226803,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-2__MASE,B02_fev_favorita_stores_1D,Favorita,long,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.1402,1.22465,ML_TREE,-0.08444999999999991,-0.06895847793247042,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-2__WAPE,B02_fev_favorita_stores_1D,Favorita,long,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1383,0.15760000000000002,ML_TREE,-0.01930000000000001,-0.12246192893401021,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.0322,1.22465,ML_TREE,-0.19245,-0.15714693994202425,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1D,Favorita,long,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.2689,1.22465,ML_TREE,0.0442499999999999,0.0361327726289143,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1D,Favorita,long,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.1743,0.15760000000000002,ML_TREE,0.016699999999999993,0.10596446700507609,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.98,1.22465,ML_TREE,-0.24465000000000003,-0.19977136324664194,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1D,Favorita,long,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.205,1.22465,ML_TREE,-0.019649999999999945,-0.016045400726738206,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1D,Favorita,long,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.1568,0.15760000000000002,ML_TREE,-8.000000000000229e-4,-0.00507614213197984,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__TabPFN-TS__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.9698,1.22465,ML_TREE,-0.25485,-0.2081002735475442,0.001266624445851805,LIT,1579,1579
