pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_stores_1D__Chronos-2__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,0.9164,1.2171,ML_TREE,-0.3007000000000001,-0.24706269000082168,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-2__MASE,B02_fev_favorita_stores_1D,Favorita,long,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.1402,1.2171,ML_TREE,-0.07689999999999997,-0.06318297592638235,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-2__WAPE,B02_fev_favorita_stores_1D,Favorita,long,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1383,0.1567,ML_TREE,-0.0184,-0.11742182514358647,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.0322,1.2171,ML_TREE,-0.18490000000000006,-0.15191849478268019,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1D,Favorita,long,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.2689,1.2171,ML_TREE,0.051799999999999846,0.04256018404403898,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1D,Favorita,long,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.1743,0.1567,ML_TREE,0.017600000000000005,0.11231652839821317,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.98,1.2171,ML_TREE,-0.2371000000000001,-0.19480732889655744,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1D,Favorita,long,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.205,1.2171,ML_TREE,-0.0121,-0.00994166461260373,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1D,Favorita,long,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.1568,0.1567,ML_TREE,9.999999999998899e-5,6.381620931715953e-4,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1D__TabPFN-TS__SQL,B02_fev_favorita_stores_1D,Favorita,long,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.9698,1.2171,ML_TREE,-0.24730000000000008,-0.20318790567743,0.001266624445851805,LIT,1579,1579
