dataset,horizon,model,n_valid,wape_mean,bootstrap_se,ci_95_lo,ci_95_hi,ci_width
favorita,7,chronos2,100,0.5253,0.0078,0.5101,0.5404,0.0302
favorita,7,chronos_bolt_tiny,100,0.5321,0.0075,0.5174,0.5465,0.0291
favorita,7,moirai2,100,0.5257,0.0079,0.5104,0.5409,0.0304
favorita,7,tirex,100,0.5249,0.0077,0.51,0.5399,0.0299
favorita,14,chronos2,100,0.5325,0.0081,0.5165,0.5481,0.0316
favorita,14,chronos_bolt_tiny,100,0.5374,0.0078,0.522,0.5526,0.0306
favorita,14,moirai2,100,0.5314,0.0081,0.5155,0.547,0.0315
favorita,14,tirex,100,0.5311,0.008,0.5152,0.5466,0.0313
favorita,28,chronos2,98,0.5415,0.008,0.5258,0.5569,0.0311
favorita,28,chronos_bolt_tiny,98,0.5458,0.0078,0.5307,0.5608,0.0301
favorita,28,moirai2,98,0.5394,0.0081,0.5236,0.5549,0.0314
favorita,28,tirex,98,0.5395,0.0081,0.5238,0.5552,0.0314
m5,7,chronos2,100,0.9323,0.0108,0.9106,0.9529,0.0423
m5,7,chronos_bolt_tiny,100,0.9576,0.0122,0.9331,0.9809,0.0477
m5,7,moirai2,100,0.9263,0.011,0.9042,0.9474,0.0432
m5,7,tirex,100,0.9344,0.0111,0.912,0.9556,0.0436
m5,14,chronos2,100,0.9339,0.0106,0.9125,0.9541,0.0416
m5,14,chronos_bolt_tiny,100,0.9555,0.0116,0.9325,0.9775,0.045
m5,14,moirai2,100,0.9276,0.0107,0.9061,0.948,0.042
m5,14,tirex,100,0.937,0.0107,0.9153,0.9572,0.0419
m5,28,chronos2,100,0.9377,0.0102,0.917,0.9572,0.0402
m5,28,chronos_bolt_tiny,100,0.9557,0.0108,0.9339,0.9762,0.0423
m5,28,moirai2,100,0.9313,0.0104,0.9104,0.951,0.0405
m5,28,tirex,100,0.9421,0.0102,0.9213,0.9613,0.0401
rohlik,7,chronos2,98,0.314,0.0112,0.2928,0.3365,0.0437
rohlik,7,chronos_bolt_tiny,98,0.3218,0.0111,0.3009,0.3441,0.0432
rohlik,7,moirai2,492,0.3117,0.0048,0.3023,0.3213,0.0189
rohlik,7,tirex,98,0.3143,0.011,0.2933,0.3364,0.043
rohlik,14,chronos2,98,0.3274,0.0118,0.305,0.3514,0.0464
rohlik,14,chronos_bolt_tiny,98,0.3344,0.0117,0.3122,0.358,0.0458
rohlik,14,moirai2,98,0.327,0.0111,0.3057,0.3492,0.0435
rohlik,14,tirex,98,0.3264,0.0115,0.3046,0.3496,0.0449
rohlik,28,chronos2,98,0.3488,0.014,0.3226,0.3777,0.0551
rohlik,28,chronos_bolt_tiny,98,0.3528,0.0135,0.3274,0.3804,0.053
rohlik,28,moirai2,98,0.3475,0.0128,0.3233,0.374,0.0507
rohlik,28,tirex,98,0.3452,0.013,0.3205,0.3718,0.0513
