dataset,horizon,model_name,baseline_model,baseline_rule,n_series_paired,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,contrast_id,bootstrap_se,ci95_low,ci95_high,n_boot
M5,7,chronos2,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.29365694569342815,0.31265970800969345,-0.06270316960324039,M5_h7_chronos2_vs_lightgbm_tuned_cov_200trial,0.0067572328753140775,-0.07726054259030449,-0.050441660329344266,1000
M5,7,chronos_bolt_tiny,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.3143069542902448,0.31265970800969345,0.00525466558222851,M5_h7_chronos_bolt_tiny_vs_lightgbm_tuned_cov_200trial,0.008429811261384246,-0.011957893512001123,0.02104444594311413,1000
M5,7,moirai2,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.2979939021907553,0.31265970800969345,-0.048042380408997575,M5_h7_moirai2_vs_lightgbm_tuned_cov_200trial,0.007613051373551779,-0.0631533651097329,-0.034184738106744716,1000
M5,7,timesfm25,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.2988472750132987,0.31265970800969345,-0.04518274727148783,M5_h7_timesfm25_vs_lightgbm_tuned_cov_200trial,0.007879124481607588,-0.060651991931505014,-0.031056517545654364,1000
M5,7,tirex,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.2981849257964853,0.31265970800969345,-0.047401553853945004,M5_h7_tirex_vs_lightgbm_tuned_cov_200trial,0.007437691285089911,-0.06249006901005521,-0.03359784681344454,1000
M5,14,chronos2,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.30704296660218844,0.33043665966028607,-0.07342729672686452,M5_h14_chronos2_vs_lightgbm_tuned_cov_200trial,0.008218586994635364,-0.09118835375078782,-0.058033043624618016,1000
M5,14,chronos_bolt_tiny,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.3306748605721658,0.33043665966028607,0.0007206073858872506,M5_h14_chronos_bolt_tiny_vs_lightgbm_tuned_cov_200trial,0.009909152591641773,-0.019238163956826423,0.019350301183865215,1000
M5,14,moirai2,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.30998522022307723,0.33043665966028607,-0.06389037123713316,M5_h14_moirai2_vs_lightgbm_tuned_cov_200trial,0.00837856792054547,-0.08040739225551875,-0.04901497010107482,1000
M5,14,timesfm25,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.31080386184404174,0.33043665966028607,-0.06125294696807785,M5_h14_timesfm25_vs_lightgbm_tuned_cov_200trial,0.008128666271466283,-0.078067521329029,-0.04670602020375634,1000
M5,14,tirex,lightgbm_tuned_cov,best_200trial_test_WAPE_aggregate,100,0.31200877947071437,0.33043665966028607,-0.0573836641372126,M5_h14_tirex_vs_lightgbm_tuned_cov_200trial,0.0077150438898566254,-0.07338913098294442,-0.04351295257464495,1000
M5,28,chronos2,lightgbm_tuned_direct,best_200trial_test_WAPE_aggregate,100,0.3391421657214263,0.36030687363752323,-0.060536707731571056,M5_h28_chronos2_vs_lightgbm_tuned_direct_200trial,0.014297439160503713,-0.08921321440996154,-0.03220219352133648,1000
M5,28,chronos_bolt_tiny,lightgbm_tuned_direct,best_200trial_test_WAPE_aggregate,100,0.35979756543877894,0.36030687363752323,-0.00141454004733391,M5_h28_chronos_bolt_tiny_vs_lightgbm_tuned_direct_200trial,0.0163045332953309,-0.034006890970171434,0.030874283629973805,1000
M5,28,moirai2,lightgbm_tuned_direct,best_200trial_test_WAPE_aggregate,100,0.32919347254727627,0.36030687363752323,-0.09031045473355646,M5_h28_moirai2_vs_lightgbm_tuned_direct_200trial,0.012463513438650693,-0.11523088375673014,-0.06657949278278809,1000
M5,28,timesfm25,lightgbm_tuned_direct,best_200trial_test_WAPE_aggregate,100,0.33166326864838935,0.36030687363752323,-0.08283589195492677,M5_h28_timesfm25_vs_lightgbm_tuned_direct_200trial,0.01385552430309562,-0.10858993238207028,-0.05552375134678435,1000
M5,28,tirex,lightgbm_tuned_direct,best_200trial_test_WAPE_aggregate,100,0.347809130073229,0.36030687363752323,-0.035302242606702304,M5_h28_tirex_vs_lightgbm_tuned_direct_200trial,0.017318659830785902,-0.06977465937694172,-0.0010907091103014481,1000
