contrast_id,M5_h7_chronos2_vs_lightgbm_tuned_cov_200trial,M5_h7_chronos_bolt_tiny_vs_lightgbm_tuned_cov_200trial,M5_h7_moirai2_vs_lightgbm_tuned_cov_200trial,M5_h7_timesfm25_vs_lightgbm_tuned_cov_200trial,M5_h7_tirex_vs_lightgbm_tuned_cov_200trial,M5_h14_chronos2_vs_lightgbm_tuned_cov_200trial,M5_h14_chronos_bolt_tiny_vs_lightgbm_tuned_cov_200trial,M5_h14_moirai2_vs_lightgbm_tuned_cov_200trial,M5_h14_timesfm25_vs_lightgbm_tuned_cov_200trial,M5_h14_tirex_vs_lightgbm_tuned_cov_200trial,M5_h28_chronos2_vs_lightgbm_tuned_direct_200trial,M5_h28_chronos_bolt_tiny_vs_lightgbm_tuned_direct_200trial,M5_h28_moirai2_vs_lightgbm_tuned_direct_200trial,M5_h28_timesfm25_vs_lightgbm_tuned_direct_200trial,M5_h28_tirex_vs_lightgbm_tuned_direct_200trial
M5_h7_chronos2_vs_lightgbm_tuned_cov_200trial,4.5660196131225356e-05,4.16159724527945e-05,4.3175895578779857e-05,4.318156960568734e-05,4.273897156813601e-05,4.685400947729327e-05,4.306642181085158e-05,4.135235858335896e-05,4.334792474929229e-05,4.237104653716615e-05,3.5711270720663305e-05,3.590004277906527e-05,2.861142772576394e-05,3.121858218249347e-05,3.384518728603512e-05
M5_h7_chronos_bolt_tiny_vs_lightgbm_tuned_cov_200trial,4.16159724527945e-05,7.106171790256067e-05,5.552590393542679e-05,5.9069670346889597e-05,5.5264475930453466e-05,3.73205623763724e-05,7.53956821565239e-05,5.188662697207284e-05,5.160212818524173e-05,5.1703308364622055e-05,5.409149973317774e-05,8.985198420632819e-05,3.7131712734472353e-05,4.1720855895491295e-05,8.347786989044119e-05
M5_h7_moirai2_vs_lightgbm_tuned_cov_200trial,4.3175895578779857e-05,5.552590393542679e-05,5.7958551216338595e-05,5.550690707073289e-05,5.219079578872221e-05,4.169925107816809e-05,5.7895648693605106e-05,5.7185752336665435e-05,5.12288663026139e-05,4.888994401223101e-05,3.66756679649911e-05,5.504121515318651e-05,4.037748196176824e-05,3.175636276696429e-05,5.228309285756317e-05
M5_h7_timesfm25_vs_lightgbm_tuned_cov_200trial,4.318156960568734e-05,5.9069670346889597e-05,5.550690707073289e-05,6.208060259666804e-05,5.353565402624645e-05,3.852127907545073e-05,6.114970212035659e-05,5.287693245948524e-05,5.5984896491208733e-05,4.944936352811225e-05,5.4194646838097844e-05,7.482431842569044e-05,4.241108561106862e-05,4.6859235361416506e-05,7.805197507935218e-05
M5_h7_tirex_vs_lightgbm_tuned_cov_200trial,4.273897156813601e-05,5.5264475930453466e-05,5.219079578872221e-05,5.353565402624645e-05,5.531925165230238e-05,3.9344057815247125e-05,5.915591618535547e-05,4.99490265613165e-05,4.7235766509518635e-05,4.986316562192708e-05,4.339373854274502e-05,6.28543037014693e-05,4.191277409069542e-05,3.306844062132792e-05,6.360397068116456e-05
M5_h14_chronos2_vs_lightgbm_tuned_cov_200trial,4.685400947729327e-05,3.73205623763724e-05,4.169925107816809e-05,3.852127907545073e-05,3.9344057815247125e-05,6.754517218838947e-05,5.042554317370447e-05,4.8393482345354016e-05,5.1537988794990546e-05,5.284087708804861e-05,3.445035007215267e-05,2.467314543135005e-05,2.136969182815069e-05,2.7112033694558503e-05,1.985247761345913e-05
M5_h14_chronos_bolt_tiny_vs_lightgbm_tuned_cov_200trial,4.306642181085158e-05,7.53956821565239e-05,5.7895648693605106e-05,6.114970212035659e-05,5.915591618535547e-05,5.042554317370447e-05,9.819130508444087e-05,6.163507264588146e-05,6.356916180417724e-05,6.709226384940943e-05,5.736952385706991e-05,9.972499326434371e-05,2.785584100798695e-05,3.848313501552509e-05,8.974513318169797e-05
M5_h14_moirai2_vs_lightgbm_tuned_cov_200trial,4.135235858335896e-05,5.188662697207284e-05,5.7185752336665435e-05,5.287693245948524e-05,4.99490265613165e-05,4.8393482345354016e-05,6.163507264588146e-05,7.020040039919354e-05,5.598705718766693e-05,5.3896198799405046e-05,2.3580065244587247e-05,4.0370004017767376e-05,3.988726255336451e-05,2.031867279079075e-05,3.6095564694927496e-05
M5_h14_timesfm25_vs_lightgbm_tuned_cov_200trial,4.334792474929229e-05,5.160212818524173e-05,5.12288663026139e-05,5.5984896491208733e-05,4.7235766509518635e-05,5.1537988794990546e-05,6.356916180417724e-05,5.598705718766693e-05,6.607521535287353e-05,5.643745168288206e-05,5.438279658548419e-05,6.708210727927695e-05,3.389456653045713e-05,5.462695145195668e-05,6.948694005235884e-05
M5_h14_tirex_vs_lightgbm_tuned_cov_200trial,4.237104653716615e-05,5.1703308364622055e-05,4.888994401223101e-05,4.944936352811225e-05,4.986316562192708e-05,5.284087708804861e-05,6.709226384940943e-05,5.3896198799405046e-05,5.643745168288206e-05,5.9521902222414124e-05,4.730040230232787e-05,6.119020051352817e-05,3.362500353451386e-05,3.95300564990615e-05,6.064809637400889e-05
